Date,Full Retreat and Summaries,Title of Event,#,Transcript or Writing,Title of Talk or Writing,Link,Broad Topics,Detailed Topics,Principal teacher 1,Principal teacher 2,Facilitator 1,Organization,Venue,Dates of overall event,Length of recording,Type of recording,Teacher's note on suitability,Online,Live audience,Audience (experienced or general),Technical notes on audio quality
2017-02-18,,Eros Unfettered - Opening the Dharma of Desire,35,https://dl.airtable.com/.attachments/b25cebe6c6aad5019ba22c6d4f66b2f4/bf5e3dc6/2017_0218OpeningTheDharmaofDesire-Part2.pdf,Opening The Dharma of Desire (Part 2),https://dharmaseed.org/teacher/210/talk/40183/,imaginal/soulmaking,"soulmaking: temenos, alchemical vessel,soulmaking: working imaginally with desire that can't be had,inquiring,desire/eros,sexuality/romantic relationships,soulmaking: sexual erotic-imaginal,concepts/logos,soulmaking: the student/teacher relationship,soulmaking: working imaginally with desired relationships,pothos in eros: always wanting more,eros for unfabricating and for soulful fabrication,inquiring: what blocks questioning?,desire/eros: concepts affect what experiences unfold,sexual energy, working with,piti and sukha, practicing with,desire/eros: summary of ways of viewing desire",Rob Burbea,,,Gaia House,"Gaia House, Devon",January 15 - February 20 2017,4753,Talk,"PLEASE NOTE: This series of talks is intended for experienced practitioners who have already developed some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. In particular, it is strongly recommended that before approaching this set you study and work with the material from the following talks and series: The Theatre of Selves (Parts 1 - 3); Approaching the Dharma, Part 1 (Unbinding the World), and Part 2 (Liberating Ways of Looking); the three-part series Questioning Awakening, Buddhism Beyond Modernism, In Praise of Restlessness; Image, Mythos, Dharma (Parts 1 - 3); An Ecology of Love (Parts 1 - 4); The Path of the Imaginal (Longer Course); and Re-enchanting the Cosmos: The Poetry of Perception. Integrating that previous material and also taking the talks in this new set in their intended order will, for most, support a better and fuller understanding of the teachings from this course.",,,Experienced practitioners,
2017-02-19,,Eros Unfettered - Opening the Dharma of Desire,36,https://dl.airtable.com/.attachments/ce385ed4514fc421ebfbf1245459a138/73dd9ca8/2017_0219FromMindfulnesstoDivinity-Part1.pdf,From Mindfulness to Divinity: Towards the Tracing of a Phenomenology of Soul (Part 1),https://dharmaseed.org/teacher/210/talk/40176/,imaginal/soulmaking,"soulmaking: aspects of the imaginal,soulmaking: the growing interfusion of life and image,desire/eros,metaphysics,concepts/logos,soulmaking and emptiness,the Unfabricated,subtlety, subtlizing of attention and experience,image as primary,soulmaking and dukkha,Hillman, James,definitions: divinity (or God or Buddha-nature),definitions: infinite echoing and mirroring,metaphyics: ultimately unprovable assumptions,modern physics / quantum physics",Rob Burbea,,,Gaia House,"Gaia House, Devon",January 15 - February 20 2017,6690,Talk,"PLEASE NOTE: This series of talks is intended for experienced practitioners who have already developed some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. In particular, it is strongly recommended that before approaching this set you study and work with the material from the following talks and series: The Theatre of Selves (Parts 1 - 3); Approaching the Dharma, Part 1 (Unbinding the World), and Part 2 (Liberating Ways of Looking); the three-part series Questioning Awakening, Buddhism Beyond Modernism, In Praise of Restlessness; Image, Mythos, Dharma (Parts 1 - 3); An Ecology of Love (Parts 1 - 4); The Path of the Imaginal (Longer Course); and Re-enchanting the Cosmos: The Poetry of Perception. Integrating that previous material and also taking the talks in this new set in their intended order will, for most, support a better and fuller understanding of the teachings from this course.",,,Experienced practitioners,
2017-02-20,,Eros Unfettered - Opening the Dharma of Desire,37,https://dl.airtable.com/.attachments/0116dec5033280b0cffe4f3af0833efe/59cf0571/2017_0220FromMindfulnesstoDivinity-Part2.pdf,From Mindfulness to Divinity: Towards the Tracing of a Phenomenology of Soul (Part 2),https://dharmaseed.org/teacher/210/talk/40177/,imaginal/soulmaking,"soulmaking and emptiness,soulmaking: self becoming imaginal, re-enchanting self,metta, mystical / theistic experiences in,emptiness: dualistic view of fabricated vs the Unfabricated,metaphysics: ontic status / different kinds of reality of perceptions,conceptual frameworks, flexibility with,soulmaking: dimensionality and anchoring / rooting in the divine,soulmaking: near enemies of eros and soulmaking,desire/eros,metaphysics,concepts/logos,the Unfabricated,soulmaking: participation,Kabbalah,Vajrayana",Rob Burbea,,,Gaia House,"Gaia House, Devon",January 15 - February 20 2017,6115,Talk,"PLEASE NOTE: This series of talks is intended for experienced practitioners who have already developed some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. In particular, it is strongly recommended that before approaching this set you study and work with the material from the following talks and series: The Theatre of Selves (Parts 1 - 3); Approaching the Dharma, Part 1 (Unbinding the World), and Part 2 (Liberating Ways of Looking); the three-part series Questioning Awakening, Buddhism Beyond Modernism, In Praise of Restlessness; Image, Mythos, Dharma (Parts 1 - 3); An Ecology of Love (Parts 1 - 4); The Path of the Imaginal (Longer Course); and Re-enchanting the Cosmos: The Poetry of Perception. Integrating that previous material and also taking the talks in this new set in their intended order will, for most, support a better and fuller understanding of the teachings from this course.",,,Experienced practitioners,
2017-03-26,https://dl.airtable.com/.attachments/e80df385362b929064e5027323817def/9c41936b/OfHermitsandLovers-TheAlchemyofDesire.pdf,Of Hermits and Lovers - The Alchemy of Desire,1,https://dl.airtable.com/.attachments/8834d80a809f19f0826539fe8e1c5fd1/a6b0e91c/2017_0326TheProblemofDesire.pdf,The Problem of Desire,https://dharmaseed.org/teacher/210/talk/43948/,imaginal/soulmaking,"central concepts: fabrication, ways of looking,eros and craving, distinguishing and working with,sexuality/romantic relationships,desire/eros,awakening,definitions: eros",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,3496,Talk,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,,Experienced practitioners,
2017-03-27,,Of Hermits and Lovers - The Alchemy of Desire,2,https://dl.airtable.com/.attachments/456c0beda21defea1d2a27c9df4a28a1/fda2462d/2017_0327ErosintheImaginal-GuidedMeditation.pdf,Eros in the Imaginal (Guided Meditation),https://dharmaseed.org/teacher/210/talk/43938/,imaginal/soulmaking,"guided imaginal practice,images: what is an image?,soulmaking: aspects of the imaginal,soulmaking: sexual erotic-imaginal,soulmaking: ethereal/light and earthy/dark spectrum,images: how to get images,desire/eros",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,3270,Practice instructions/guided practice,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-03-27,,Of Hermits and Lovers - The Alchemy of Desire,3,https://dl.airtable.com/.attachments/56edd6ad549ae87f1ceee65e55e37a2d/f46e7279/2017_0327FaithinSoulmaking-QandA.pdf,Faith in Soulmaking (Q & A),https://dharmaseed.org/teacher/210/talk/43939/,imaginal/soulmaking,"images that are vague or unclear,images: the place of analysis and thought in imaginal work,fantasies of the path,eros and craving, distinguishing and working with,desire/eros,image as primary,soul as an organ/entity or range of ways of looking",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,1802,Question and answer session,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-03-27,,Of Hermits and Lovers - The Alchemy of Desire,4,https://dl.airtable.com/.attachments/14e31dba3833eb396c2946cb01c110d0/7439ee16/2017_0327ErosandEquanimityintheMovementsofSoul.pdf,Eros and Equanimity in the Movements of Soul,https://dharmaseed.org/teacher/210/talk/43937/,imaginal/soulmaking,"definitions: soulmaking,eros-psyche-logos (the soulmaking dynamic),soulmaking: equanimity and letting go,soulmaking: aspects of the imaginal,eros: where/how is eros sensed (body, energy, etc.),definitions: eros,definitions: psyche,pothos in eros: always wanting more,desire/eros,sexuality/romantic relationships,soulmaking and emptiness,soulmaking: sexual erotic-imaginal,soulmaking: theophany,eros: what blocks or inhibits eros?,soulmaking: intensity,soulmaking: allowing it to spread in all directions,soulmaking: self becoming imaginal, re-enchanting self,Middle Way of the imaginal,Dharma talk listening tips: caution with definitions / delineations,soul as an organ/entity or range of ways of looking,soulmaking and emptiness: basis of non-realism",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,5363,Talk,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,,Experienced practitioners,
2017-03-28,,Of Hermits and Lovers - The Alchemy of Desire,5,https://dl.airtable.com/.attachments/7c617a5e518f253508553d4c057cebca/a326cf43/2017_0328Instructions-LettingGo.pdf,Instructions: Letting Go,https://dharmaseed.org/teacher/210/talk/43940/,imaginal/soulmaking,"soulmaking: equanimity and letting go,clinging / craving: practical approaches,samadhi,renunciation/letting go,emotions / mind states, resourcing and cultivating skillful,desire/eros,energy body,dukkha (suffering),impermanence (anicca)",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,1647,Practice instructions,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-03-28,,Of Hermits and Lovers - The Alchemy of Desire,6,https://dl.airtable.com/.attachments/e9d96aee28ba250bf4f8c76caa584ed5/9b1f8893/2017_0328ClingingCravingEros-QandA.pdf,"Clinging, Craving, Eros (Q & A)",https://dharmaseed.org/teacher/210/talk/43935/,imaginal/soulmaking,"eros and craving, distinguishing and working with,desire/eros,soulmaking and emptiness,soulmaking: modulating fading in imaginal practice,emotions: transforming difficult emotions,emotions / mind states: anger,cosmopoesis: how it develops and spreads,fullness of intention (not primarily in service of self),mindfulness, unfabricating, skillful fabrication,soulmaking: self becoming imaginal, re-enchanting self",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,2591,Question and answer session,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-03-29,,Of Hermits and Lovers - The Alchemy of Desire,7,https://dl.airtable.com/.attachments/61736ae20d2e80b368127eb3c63ed679/d7f56814/2017_0329Instructions-OpeningtotheCurrentofDesire.pdf,Instructions: Opening to the Current of Desire,https://dharmaseed.org/teacher/210/talk/43941/,imaginal/soulmaking,"Practice: Opening to the current of desire,desire/eros,working with sense of lack",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,1812,Practice instructions,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-03-29,,Of Hermits and Lovers - The Alchemy of Desire,8,https://dl.airtable.com/.attachments/d3053f29e9d0b7b6da94859621459232/f159b661/2017_0329OpeningtoDesireandtheImaginal-QandA.pdf,Opening to Desire and the Imaginal (Q & A),https://dharmaseed.org/teacher/210/talk/43946/,imaginal/soulmaking,"Practice: Opening to the current of desire,compassion,desire/eros,energy body,twoness / balance of attention practices or instructions,eros: what blocks or inhibits eros?,soulmaking: dark gods (the weird, dark, pathological, sexual, etc.),soulmaking: prerequisites and foundations,sexual energy, working with,soulmaking: sexual erotic-imaginal,jhana,piti and sukha, practicing with,working with pain / discomfort",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,2424,Question and answer session,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-03-30,,Of Hermits and Lovers - The Alchemy of Desire,9,https://dl.airtable.com/.attachments/3dd6e972856aa12e14d0a42c62bc064c/092d7204/2017_0330IntentionandDevotion-GuidedMeditation.pdf,Intention and Devotion (Guided Meditation),https://dharmaseed.org/teacher/210/talk/43942/,imaginal/soulmaking,"soulmaking: movement, mudras, and voice,guided meditation on devotion,energy body,devotion,soulmaking: re-enchanting the body,guided practice or instructions on voice / movement,walking meditation,standing meditation",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,2260,Practice instructions/guided practice,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-03-30,,Of Hermits and Lovers - The Alchemy of Desire,10,https://dl.airtable.com/.attachments/17beb9ded0a639291967bfd3df4fd573/d9abbcfc/2017_0330EnergyBodyandImage-QandA.pdf,Energy Body and Image (Q & A),https://dharmaseed.org/teacher/210/talk/43936/,imaginal/soulmaking,"samadhi,desire/eros,energy body,concepts/logos,working with pain / discomfort,samadhi: concepts affecting the experiences that unfold,working with difficult emotions / sensations / energies,definitions: energy body,soulmaking: imaginal vs imagination/daydreaming/fantasizing,soulmaking: aspects of the imaginal,images: not reducing to one meaning or causal explanation,subtlety, subtlizing of attention and experience,soulmaking: modulating fading in imaginal practice,soulmaking: priortizing samadhi, image, or emotion",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,2745,Question and answer session,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-03-30,,Of Hermits and Lovers - The Alchemy of Desire,11,https://dl.airtable.com/.attachments/6af4d8859a4dede3734aeeb23432a4aa/00d3cef8/2017_0330VisionsoftheBeyond.pdf,Visions of the Beyond,https://dharmaseed.org/teacher/210/talk/43949/,imaginal/soulmaking,"eros for unfabricating and for soulful fabrication,inquiring around eros for the path,fantasies of the path,relationships with the senses,desire/eros,awakening,concepts/logos,the Unfabricated,eros and craving, distinguishing and working with,working with sense of lack,Fairbairn, W.R.D.,eros being diverted to greed through lack of dimensionality,existentialist Dharma,Vajrayana,emptiness: what is emptiness?,soulmaking: comparing and contrasting with tantra,awakening as open-ended,definitions: immanence,transcendence in Buddhadharma,soulmaking and emptiness: basis of non-realism",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,6253,Talk,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,,Experienced practitioners,
2017-03-31,,Of Hermits and Lovers - The Alchemy of Desire,12,https://dl.airtable.com/.attachments/6f67f8f8904aab22ed49efd5d8c244fb/e6f71040/2017_0331OnBlessedGround-FantasiesoftheSelfonthePath.pdf,On Blessed Ground: Fantasies of the Self on the Path,https://dharmaseed.org/teacher/210/talk/43945/,imaginal/soulmaking,"fantasies of the path,conceptions of dukkha and the Four Noble Truths,sexuality/romantic relationships,soulmaking: self becoming imaginal, re-enchanting self",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,1927,Talk,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,,Experienced practitioners,
2017-03-31,,Of Hermits and Lovers - The Alchemy of Desire,13,https://dl.airtable.com/.attachments/7fe450964c2747712d669ce730fe96d7/9d11a057/2017_0331AwakeningandSoulmaking-QandA.pdf,Awakening and Soulmaking (Q & A),https://dharmaseed.org/teacher/210/talk/43933/,imaginal/soulmaking,"soulmaking: priortizing samadhi, image, or emotion,emptiness/insight: liberating insight without cessation,samadhi,jhana,awakening,image as primary,soulmaking and emptiness,awakening: necessary elements for liberation,central concepts: fabrication, ways of looking",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,2297,Question and answer session,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-04-01,,Of Hermits and Lovers - The Alchemy of Desire,14,https://dl.airtable.com/.attachments/38307886d79efcb108c74dc5e67f6d8a/540057d4/2017_0401LongingVulnerabilityAnteros.pdf,"Longing, Vulnerability, Anteros",https://dharmaseed.org/teacher/210/talk/43943/,imaginal/soulmaking,"soulmaking: anteros,desire/eros,devotion,soulmaking and dukkha,pothos in eros: always wanting more,images: examples of navigating an image,eros-psyche-logos (the soulmaking dynamic),eros in regard to self,soulmaking: participation,soulmaking, vulnerability in",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,1599,Talk,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-04-01,,Of Hermits and Lovers - The Alchemy of Desire,15,https://dl.airtable.com/.attachments/363e1a1811a6923b301d9b9284857991/6bcab72b/2017_0401ModesofSoulmaking-QandA.pdf,Modes of Soulmaking (Q & A),https://dharmaseed.org/teacher/210/talk/43944/,imaginal/soulmaking,"jhana,cosmopoesis,soulmaking and emptiness,mystical openings and experiences,the Unfabricated,emptiness/insight: fading, unfabricating,cosmopoesis: how it develops and spreads,soulmaking: comparing and contrasting with tantra,awakening: necessary elements for liberation",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,2184,Question and answer session,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-04-01,,Of Hermits and Lovers - The Alchemy of Desire,16,https://dl.airtable.com/.attachments/56323f0b1d3fb3c03912fad93f05218d/22388808/2017_0401BeautyandtheBuddha.pdf,Beauty and the Buddha,https://dharmaseed.org/teacher/210/talk/43934/,imaginal/soulmaking,"art and soul,beauty, inquiring into,soulmaking and emptiness,fantasies of the path,desire/eros,sense pleasure,sensitivity,definitions: infinite echoing and mirroring,soulmaking: participation,soulmaking: aspects of the imaginal,existentialist Dharma,impermanence (anicca),metaphysics,definitions: divinity (or God or Buddha-nature),dharmakaya, sambhogakaya, nirmanakaya,eros-psyche-logos (the soulmaking dynamic),definitions: psyche,soulmaking: anteros,emptiness: dualistic view of fabricated vs the Unfabricated",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,5564,Talk,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,,Experienced practitioners,
2017-04-02,,Of Hermits and Lovers - The Alchemy of Desire,17,https://dl.airtable.com/.attachments/90270d1a4c795e377f7553541ea5c159/f74cd168/2017_0402ShapingVessels.pdf,Shaping Vessels,https://dharmaseed.org/teacher/210/talk/43947/,imaginal/soulmaking,"soulmaking: temenos (sacred space) / dyad and group practice,soulmaking: vulnerability of sharing images,desire/eros,supporting practice in daily life, off retreat,Right Speech",Rob Burbea,,,Gaia House,"Gaia House, Devon",March 26 - April 2 2017,828,Talk,"Please Note: This series of talks is from a retreat led by Rob Burbea and Catherine McGee for experienced practitioners. The requirements for participation included some understanding of and working familiarity with practices of emptiness, samatha, metta, the emotional/energy body, and the imaginal, as well as basic mindfulness practice. Without this experience it is possible that the material and teachings from this retreat will be difficult to understand and confusing for some.",,true,Experienced practitioners,
2017-12-15,"https://dl.airtable.com/.attachments/8cb9f9870fe2da2ea63a0ea5e43efdd1/59bbdc83/TheMirroredGates-overviews.pdf,https://dl.airtable.com/.attachments/3f50bff35f2548030f319469b8d16de9/e013d731/TheMirroredGates.pdf",The Mirrored Gates,1,https://dl.airtable.com/.attachments/8055f25b13c7263b34db9b0ff905a216/55cffeae/2017_1215AspectsoftheImaginalPart1.pdf,Aspects of the Imaginal (Part 1),https://dharmaseed.org/teacher/210/talk/50471/,imaginal/soulmaking,"soulmaking: aspects of the imaginal,definitions: imaginal and sensing with soul,images: how to get images,soulmaking: moving towards the fully imaginal,images: intrapsychic and extrapsychic images,metaphysics",Rob Burbea,,,None,None,December 15 2017 - January 14 2018,3182,Talk,"PLEASE NOTE: 'The Mirrored Gates' is a set of talks (recorded by Rob from his home) attempting to clarify, elaborate on, and open up further the concepts, practices, and possibilities explained in previous talks on imaginal practice. Some working familiarity with those previous teachings will provide a helpful foundation for this new set; but a good understanding of and experiential facility with practices of emptiness, samatha, the emotional/energy body, metta, and mindfulness is necessary and presumed, without which these new teachings may be confusing and difficult to comprehend.",true,,,
2017-12-16,,The Mirrored Gates,2,https://dl.airtable.com/.attachments/3c424046b75ebe81e2c0ce7bdfb8d5ea/6301381b/2017_1216AspectsoftheImaginalPart2.pdf,Aspects of the Imaginal (Part 2),https://dharmaseed.org/teacher/210/talk/50472/,imaginal/soulmaking,"soulmaking: aspects of the imaginal,soulmaking: moving towards the fully imaginal,images: how to get images,images: intrapsychic and extrapsychic images,images: subtle vs dramatic / intense,images: what is an image?,images: reasons we might dismiss images,soulmaking, duty in,images: examples of navigating an image",Rob Burbea,,,None,None,December 15 2017 - January 14 2018,2894,Talk,"PLEASE NOTE: 'The Mirrored Gates' is a set of talks (recorded by Rob from his home) attempting to clarify, elaborate on, and open up further the concepts, practices, and possibilities explained in previous talks on imaginal practice. Some working familiarity with those previous teachings will provide a helpful foundation for this new set; but a good understanding of and experiential facility with practices of emptiness, samatha, the emotional/energy body, metta, and mindfulness is necessary and presumed, without which these new teachings may be confusing and difficult to comprehend.",true,,,
2017-12-17,,The Mirrored Gates,3,https://dl.airtable.com/.attachments/b562df07deef94b6c6820039a025cd9c/e5804bf6/2017_1217AspectsoftheImaginalPart3.pdf,Aspects of the Imaginal (Part 3),https://dharmaseed.org/teacher/210/talk/50473/,imaginal/soulmaking,"soulmaking: aspects of the imaginal,definitions: imaginal and sensing with soul,soulmaking: moving towards the fully imaginal,eros-psyche-logos (the soulmaking dynamic)",Rob Burbea,,,None,None,December 15 2017 - January 14 2018,3407,Talk,"PLEASE NOTE: 'The Mirrored Gates' is a set of talks (recorded by Rob from his home) attempting to clarify, elaborate on, and open up further the concepts, practices, and possibilities explained in previous talks on imaginal practice. Some working familiarity with those previous teachings will provide a helpful foundation for this new set; but a good understanding of and experiential facility with practices of emptiness, samatha, the emotional/energy body, metta, and mindfulness is necessary and presumed, without which these new teachings may be confusing and difficult to comprehend.",true,,,
2017-12-18,,The Mirrored Gates,4,https://dl.airtable.com/.attachments/042eb1a965f45339b77423e180d82877/66f2f2b2/2017_1218AspectsoftheImaginalPart4.pdf,Aspects of the Imaginal (Part 4),https://dharmaseed.org/teacher/210/talk/50474/,imaginal/soulmaking,"soulmaking: aspects of the imaginal,soulmaking: moving towards the fully imaginal,Middle Way of the imaginal vs emptiness Middle Way,soulmaking, duty in",Rob Burbea,,,None,None,December 15 2017 - January 14 2018,4929,Talk,"PLEASE NOTE: 'The Mirrored Gates' is a set of talks (recorded by Rob from his home) attempting to clarify, elaborate on, and open up further the concepts, practices, and possibilities explained in previous talks on imaginal practice. Some working familiarity with those previous teachings will provide a helpful foundation for this new set; but a good understanding of and experiential facility with practices of emptiness, samatha, the emotional/energy body, metta, and mindfulness is necessary and presumed, without which these new teachings may be confusing and difficult to comprehend.",true,,,
2017-12-19,,The Mirrored Gates,5,https://dl.airtable.com/.attachments/6e60f27ace339eed10b18d7bafb8ff17/956fa8c7/2017_1219AspectsoftheImaginalPart5.pdf,Aspects of the Imaginal (Part 5),https://dharmaseed.org/teacher/210/talk/50475/,imaginal/soulmaking,"soulmaking: aspects of the imaginal,images: iconic/poetic versus narrative images,free will vs determinism,images: not reducing to one meaning or causal explanation,antinomies in values/ethics",Rob Burbea,,,None,None,December 15 2017 - January 14 2018,4963,Talk,"PLEASE NOTE: 'The Mirrored Gates' is a set of talks (recorded by Rob from his home) attempting to clarify, elaborate on, and open up further the concepts, practices, and possibilities explained in previous talks on imaginal practice. Some working familiarity with those previous teachings will provide a helpful foundation for this new set; but a good understanding of and experiential facility with practices of emptiness, samatha, the emotional/energy body, metta, and mindfulness is necessary and presumed, without which these new teachings may be confusing and difficult to comprehend.",true,,,
2017-12-20,,The Mirrored Gates,6,https://dl.airtable.com/.attachments/4f4e2c7c88cb9ddbd32685d5b84a148a/678fed2b/2017_1220AspectsoftheImaginalPart6.pdf,Aspects of the Imaginal (Part 6),https://dharmaseed.org/teacher/210/talk/50476/,imaginal/soulmaking,"soulmaking: aspects of the imaginal,time and timelessness,Middle Way of the imaginal vs emptiness Middle Way,soulmaking: vertical spectrum / imaginal concertina,Middle Way of the imaginal,concepts and ideas are present in all perception,critique: the practice of 'being with' or 'bare attention',soulmaking: participation",Rob Burbea,,,None,None,December 15 2017 - January 14 2018,5439,Talk,"PLEASE NOTE: 'The Mirrored Gates' is a set of talks (recorded by Rob from his home) attempting to clarify, elaborate on, and open up further the concepts, practices, and possibilities explained in previous talks on imaginal practice. Some working familiarity with those previous teachings will provide a helpful foundation for this new set; but a good understanding of and experiential facility with practices of emptiness, samatha, the emotional/energy body, metta, and mindfulness is necessary and presumed, without which these new teachings may be confusing and difficult to comprehend.",true,,,
